VCD info: dumpfile wave.vcd opened for output.
cyc | PC   | instr    | x1(sum) x2(i) x3(lim)
----+------+----------+-----------------------
  0 | 00000004 | 00100113 |    0       0      0
  1 | 00000008 | 00b00193 |    0       1      0
  2 | 0000000c | 00315863 |    0       1     11
  3 | 00000010 | 002080b3 |    0       1     11
  4 | 00000014 | 00110113 |    1       1     11
  5 | 00000018 | ff5ff06f |    1       2     11
  6 | 0000000c | 00315863 |    1       2     11
  7 | 00000010 | 002080b3 |    1       2     11
  8 | 00000014 | 00110113 |    3       2     11
  9 | 00000018 | ff5ff06f |    3       3     11
 10 | 0000000c | 00315863 |    3       3     11
 11 | 00000010 | 002080b3 |    3       3     11
 12 | 00000014 | 00110113 |    6       3     11
 13 | 00000018 | ff5ff06f |    6       4     11
 14 | 0000000c | 00315863 |    6       4     11
 15 | 00000010 | 002080b3 |    6       4     11
 16 | 00000014 | 00110113 |   10       4     11
 17 | 00000018 | ff5ff06f |   10       5     11
 18 | 0000000c | 00315863 |   10       5     11
 19 | 00000010 | 002080b3 |   10       5     11
 20 | 00000014 | 00110113 |   15       5     11
 21 | 00000018 | ff5ff06f |   15       6     11
 22 | 0000000c | 00315863 |   15       6     11
 23 | 00000010 | 002080b3 |   15       6     11
 24 | 00000014 | 00110113 |   21       6     11
 25 | 00000018 | ff5ff06f |   21       7     11
 26 | 0000000c | 00315863 |   21       7     11
 27 | 00000010 | 002080b3 |   21       7     11
 28 | 00000014 | 00110113 |   28       7     11
 29 | 00000018 | ff5ff06f |   28       8     11
 30 | 0000000c | 00315863 |   28       8     11
 31 | 00000010 | 002080b3 |   28       8     11
 32 | 00000014 | 00110113 |   36       8     11
 33 | 00000018 | ff5ff06f |   36       9     11
 34 | 0000000c | 00315863 |   36       9     11
 35 | 00000010 | 002080b3 |   36       9     11
 36 | 00000014 | 00110113 |   45       9     11
 37 | 00000018 | ff5ff06f |   45      10     11
 38 | 0000000c | 00315863 |   45      10     11
 39 | 00000010 | 002080b3 |   45      10     11
 40 | 00000014 | 00110113 |   55      10     11
 41 | 00000018 | ff5ff06f |   55      11     11
 42 | 0000000c | 00315863 |   55      11     11
 43 | 0000001c | 00102023 |   55      11     11
 44 | 00000020 | 0000006f |   55      11     11
 45 | 00000020 | 0000006f |   55      11     11
 46 | 00000020 | 0000006f |   55      11     11
 47 | 00000020 | 0000006f |   55      11     11
 48 | 00000020 | 0000006f |   55      11     11
 49 | 00000020 | 0000006f |   55      11     11
 50 | 00000020 | 0000006f |   55      11     11
 51 | 00000020 | 0000006f |   55      11     11
 52 | 00000020 | 0000006f |   55      11     11
 53 | 00000020 | 0000006f |   55      11     11
 54 | 00000020 | 0000006f |   55      11     11
 55 | 00000020 | 0000006f |   55      11     11
 56 | 00000020 | 0000006f |   55      11     11
 57 | 00000020 | 0000006f |   55      11     11
 58 | 00000020 | 0000006f |   55      11     11
 59 | 00000020 | 0000006f |   55      11     11

Final x1 (sum)   = 55  (expected 55)
dmem[0]          = 55  (expected 55)
RESULT: PASS
testbench.sv:54: $finish called at 606000 (1ps)
